stock1,stock2,correlation,coint_pvalue,hedge_ratio,half_life,spread_std
DHI,LEN,0.8876014615808668,0.0005125160326457602,1.0517847741679145,12.53168481739653,0.033454519469877625
MA,V,0.7693181520699364,0.0007656368289337022,1.1077385462510696,18.426128485534214,0.030578655726398937
USB,KEY,0.7520790145087407,0.0388791972362514,0.6907707164307115,19.735841698714363,0.049903603256117667
VMC,MLM,0.8823478100280732,0.038480195580863956,0.8070309100538695,20.045387190537696,0.032096787788509974
WEC,AEE,0.8216589748079789,0.003401170328240055,0.6793281745121927,20.53350091166514,0.03481698157505715
CSX,UNP,0.7121565809491863,0.0013764834017521634,0.9875438738359766,22.24397511802906,0.046026545974474184
BAC,PNC,0.7872243227737503,0.001410304137116641,0.9338665010776576,22.255934879030576,0.045020358370568815
WEC,DTE,0.8046855856014914,0.04824504807048879,0.37288381853263497,22.924707127773708,0.05446744671856601
CMS,PPL,0.7864097325017984,0.01301272065107964,0.6764193164509493,24.70540783143326,0.045636760393015674
CDNS,SNPS,0.8642453900147559,0.03838272646151175,1.0358752158021334,25.472805705196407,0.042123985894430976
CMS,NI,0.7811328711169806,0.018402624051264305,0.4748649781651079,25.627266671261438,0.042282147672849726
WEC,PPL,0.7824465878533245,0.044086835635376034,0.45273622966105415,25.74289889651176,0.05582616224101742
DTE,DUK,0.7633802966031838,0.009753304266430708,0.9409518384842418,26.8488305126448,0.04773936751342334
WEC,SO,0.7437689033260455,0.04556307433068771,0.22416597572304628,28.063780400108243,0.06182040284824409
HBAN,FITB,0.8446447220499719,0.028386749221759704,0.7038759545290275,29.232190020734635,0.05853877079410051
CVX,OXY,0.7199587321530627,0.005050322196476079,0.5349328552581628,29.358449959672292,0.08308610977942069
HBAN,PNC,0.8445825884318845,0.011395672564815558,0.9194262509576058,29.73025665862896,0.06364584219593372
